Identifier,Name,Height,Spread,Diameter,Maturity,Condition
00000001,Sycamore,16,15,62,Mature,Fair
00000026,"Cherry - Wild, Gean",17,11,25,Middle aged,Good
00000027,Maple - Norway,14,8,21,Middle aged,Good
00000030,Pear,7,4,27,Mature,Good
00000031,Pear,7,6,40,Mature,Good
00000032,Pear,7,5,40,Mature,Good
00000034,Sycamore,23,12,61,Mature,Good
00000044,Willow - White,14,8,88,Mature,Fair
00000045,Willow - White,15,8,52,Mature,Fair
00000046,Elm - Dutch,18,7,37,Middle aged,Fair
00000048,Maple - Norway,8,5,21,Middle aged,Fair
00000049,Elm - Dutch,14,5,27,Middle aged,Good
00000050,Willow - White,12,6,38,Mature,Fair
00000051,Maple - Norway,11,7,25,Middle aged,Fair
00000052,Elm - Dutch,16,7,39,Middle aged,Fair
00000053,Willow - White,14,5,42,Mature,Fair
00000054,Maple - Norway,11,6,24,Middle aged,Fair
00000055,Willow - White,15,6,62,Mature,Fair
00000056,Willow - White,15,7,81,Mature,Fair
00000057,Birch - Silver,7,5,9,Middle aged,Fair
00000061,Whitebeam,10,7,37,Mature,Fair
00000063,Willow - White,16,10,88,Mature,Fair
00000066,Whitebeam,11,5,28,Middle aged,Fair
00000069,Poplar - Balsam,22,13,69,Mature,Good
00000070,Poplar - Balsam,24,13,75,Mature,Good
00000075,Sycamore,10,7,49,Mature,Fair
00000076,Sycamore,16,14,54,Mature,Fair
00000081,Maple,6,5,19,Middle aged,Fair
00000088,Hawthorn - Common,6,6,27,Mature,Good
00000100,Lime - Common,17,10,70,Mature,Fair
00000101,London plane,13,18,82,Mature,Good
00000102,Maple - Norway,12,10,49,Mature,Fair
00000103,Maple - Norway,12,6,43,Middle aged,Fair
00000104,Maple - Norway,11,6,47,Middle aged,Fair
00000106,Maple - Norway,10,8,47,Middle aged,Good
00000107,Maple - Norway,10,7,47,Mature,Fair
00000108,Maple - Norway,10,6,41,Middle aged,Fair
00000109,Willow - Corkscrew,3,6,15,Middle aged,Fair
00000112,Ash - Narrow-leafed,14,9,44,Mature,Fair
00000113,Ash - Narrow-leafed,14,9,40,Mature,Good
00000117,Lime - Large-leaved,16,9,65,Mature,Good
00000126,Lime - Large-leaved,15,10,60,Mature,Good
00000127,Ash - Narrow-leafed,14,12,49,Mature,Good
00000137,Rowan - Sargent's,6,3,13,Middle aged,Fair
00000140,Maple - Norway,12,7,35,Middle aged,Fair
00000141,Maple - Norway,12,6,40,Mature,Fair
00000142,"Cherry - Wild, Gean",14,8,48,Mature,Fair
00000143,Plum,10,5,32,Mature,Fair
00000145,Maple - Crimson King Norway,14,4,18,Middle aged,Fair
00000151,"Cherry - Wild, Gean",10,7,44,Mature,Fair
00000155,"Rowan, Mountain Ash",5,6,21,Middle aged,Fair
00000156,Whitebeam,6,4,33,Middle aged,Fair
00000159,Ash,9,6,42,Mature,Fair
00000162,Whitebeam,7,5,25,Middle aged,Fair
00000170,Plum,7,6,29,Middle aged,Fair
00000173,Alder - Italian,15,11,48,Mature,Fair
00000174,Ash,13,8,38,Middle aged,Fair
00000175,"Cherry - Wild, Gean",10,6,30,Mature,Fair
00000179,Willow - Weeping,8,9,54,Mature,Fair
00000181,Horse Chestnut,10,7,42,Middle aged,Fair
00000182,Sycamore,10,8,42,Middle aged,Fair
00000183,Sycamore,9,5,36,Middle aged,Poor
00000184,Beech - Common,16,10,65,Mature,Fair
00000186,Birch - Silver,8,5,12,Middle aged,Fair
00000187,Beech - Common,16,15,72,Mature,Good
00000188,Beech - Common,15,12,58,Mature,Fair
00000189,Birch - Silver,13,4,23,Middle aged,Good
00000190,Birch - Silver,13,7,25,Mature,Fair
